"","date","time","subject","blockcode","blocknum_and_trialnum","trialcode","primestim","targetstim","correct","latency","exclude_based_on_trial_count"
"106","23.06.22",12:28:35,246532124,"test","2_25","prime_negative",1,22,0,770,"exclude"
"107","23.06.22",12:28:35,246532124,"test","2_26","prime_negative",3,38,1,528,"exclude"
"108","23.06.22",12:28:35,246532124,"test","2_27","prime_negative",4,9,1,477,"exclude"
"109","23.06.22",12:28:35,246532124,"test","2_28","prime_negative",2,16,1,1537,"exclude"
"110","23.06.22",12:28:35,246532124,"test","2_29","prime_positive",2,52,1,485,"exclude"
"111","23.06.22",12:28:35,246532124,"test","2_30","prime_positive",3,18,1,403,"exclude"
"112","23.06.22",12:28:35,246532124,"test","2_31","prime_negative",1,51,0,594,"exclude"
"113","23.06.22",12:28:35,246532124,"test","2_32","prime_positive",1,40,1,293,"exclude"
"114","23.06.22",12:28:35,246532124,"test","2_33","prime_positive",4,46,1,243,"exclude"
"115","23.06.22",12:28:35,246532124,"test","2_34","prime_negative",2,30,1,802,"exclude"
"116","23.06.22",12:28:35,246532124,"test","2_35","prime_positive",1,53,1,561,"exclude"
"117","23.06.22",12:28:35,246532124,"test","2_36","prime_negative",3,17,1,444,"exclude"
"118","23.06.22",12:28:35,246532124,"test","2_37","prime_negative",4,25,1,243,"exclude"
"119","23.06.22",12:28:35,246532124,"test","2_38","prime_positive",3,20,1,693,"exclude"
"120","23.06.22",12:28:35,246532124,"test","2_39","prime_positive",2,47,1,353,"exclude"
"121","23.06.22",12:28:35,246532124,"test","2_40","prime_positive",2,14,1,386,"exclude"
"122","23.06.22",12:28:35,246532124,"test","2_41","prime_positive",1,64,1,653,"exclude"
"123","23.06.22",12:28:35,246532124,"test","2_42","prime_negative",3,24,1,1262,"exclude"
"124","23.06.22",12:28:35,246532124,"test","2_43","prime_negative",2,66,1,635,"exclude"
"125","23.06.22",12:28:35,246532124,"test","2_44","prime_negative",1,42,1,1203,"exclude"
"126","23.06.22",12:28:35,246532124,"test","2_45","prime_negative",4,68,1,469,"exclude"
"127","23.06.22",12:28:35,246532124,"test","2_46","prime_negative",4,34,1,969,"exclude"
"128","23.06.22",12:28:35,246532124,"test","2_47","prime_positive",3,49,1,636,"exclude"
"129","23.06.22",12:28:35,246532124,"test","2_48","prime_negative",1,19,0,1254,"exclude"
"130","23.06.22",12:28:35,246532124,"test","2_49","prime_positive",4,37,1,535,"exclude"
"131","23.06.22",12:28:35,246532124,"test","2_50","prime_negative",3,50,1,570,"exclude"
"132","23.06.22",12:28:35,246532124,"test","2_51","prime_positive",2,5,1,561,"exclude"
"133","23.06.22",12:28:35,246532124,"test","2_52","prime_positive",1,31,1,527,"exclude"
"134","23.06.22",12:28:35,246532124,"test","2_53","prime_negative",2,3,1,778,"exclude"
"135","23.06.22",12:28:35,246532124,"test","2_54","prime_negative",3,33,0,895,"exclude"
"136","23.06.22",12:28:35,246532124,"test","2_55","prime_positive",4,56,1,627,"exclude"
"137","23.06.22",12:28:35,246532124,"test","2_56","prime_negative",2,11,0,920,"exclude"
"138","23.06.22",12:28:35,246532124,"test","2_57","prime_negative",4,21,1,637,"exclude"
"139","23.06.22",12:28:35,246532124,"test","2_58","prime_positive",3,10,1,628,"exclude"
"140","23.06.22",12:28:35,246532124,"test","2_59","prime_positive",2,48,1,460,"exclude"
"141","23.06.22",12:28:35,246532124,"test","2_60","prime_positive",1,36,1,437,"exclude"
"142","23.06.22",12:28:35,246532124,"test","2_61","prime_positive",3,71,1,402,"exclude"
"143","23.06.22",12:28:35,246532124,"test","2_62","prime_positive",4,43,1,486,"exclude"
"144","23.06.22",12:28:35,246532124,"test","2_63","prime_negative",1,8,1,2019,"exclude"
"145","23.06.22",12:28:35,246532124,"test","2_64","prime_negative",1,50,1,986,"exclude"
"146","23.06.22",12:28:35,246532124,"test","2_65","prime_positive",2,39,0,1062,"exclude"
"147","23.06.22",12:28:35,246532124,"test","2_66","prime_positive",3,24,1,828,"exclude"
"148","23.06.22",12:28:35,246532124,"test","2_67","prime_positive",4,28,1,561,"exclude"
"149","23.06.22",12:28:35,246532124,"test","2_68","prime_positive",1,63,1,419,"exclude"
"150","23.06.22",12:28:35,246532124,"test","2_69","prime_negative",4,17,0,961,"exclude"
"151","23.06.22",12:28:35,246532124,"test","2_70","prime_positive",2,11,1,419,"exclude"
"152","23.06.22",12:28:35,246532124,"test","2_71","prime_negative",3,16,1,536,"exclude"
"153","23.06.22",12:28:35,246532124,"test","2_72","prime_negative",2,58,1,494,"exclude"
"154","23.06.22",12:28:35,246532124,"test","2_73","prime_negative",3,3,1,1044,"exclude"
"155","23.06.22",12:32:49,246532124,"test","2_2","prime_negative",1,11,1,417,"exclude"
"156","23.06.22",12:32:49,246532124,"test","2_3","prime_negative",3,62,1,217,"exclude"
"157","23.06.22",12:32:49,246532124,"test","2_4","prime_positive",4,28,1,210,"exclude"
"158","23.06.22",12:32:49,246532124,"test","2_5","prime_negative",2,26,1,219,"exclude"
"159","23.06.22",12:32:49,246532124,"test","2_6","prime_negative",2,68,1,145,"exclude"
"160","23.06.22",12:32:49,246532124,"test","2_7","prime_positive",3,22,1,226,"exclude"
"161","23.06.22",12:32:49,246532124,"test","2_8","prime_negative",4,12,1,202,"exclude"
"162","23.06.22",12:32:49,246532124,"test","2_9","prime_positive",2,40,1,201,"exclude"
"163","23.06.22",12:32:49,246532124,"test","2_10","prime_negative",1,57,1,193,"exclude"
"164","23.06.22",12:32:49,246532124,"test","2_11","prime_positive",3,5,1,193,"exclude"
"165","23.06.22",12:32:49,246532124,"test","2_12","prime_positive",2,39,1,193,"exclude"
"166","23.06.22",12:32:49,246532124,"test","2_13","prime_negative",3,32,1,234,"exclude"
"167","23.06.22",12:32:49,246532124,"test","2_14","prime_negative",4,45,1,235,"exclude"
"168","23.06.22",12:32:49,246532124,"test","2_15","prime_positive",1,69,1,193,"exclude"
"169","23.06.22",12:32:49,246532124,"test","2_16","prime_positive",4,10,1,261,"exclude"
"170","23.06.22",12:32:49,246532124,"test","2_17","prime_positive",4,29,1,261,"exclude"
"171","23.06.22",12:32:49,246532124,"test","2_18","prime_negative",1,27,1,402,"exclude"
"172","23.06.22",12:32:49,246532124,"test","2_19","prime_negative",3,21,1,303,"exclude"
"173","23.06.22",12:32:49,246532124,"test","2_20","prime_positive",1,16,1,192,"exclude"
"174","23.06.22",12:32:49,246532124,"test","2_21","prime_positive",3,38,1,222,"exclude"
"175","23.06.22",12:32:49,246532124,"test","2_22","prime_positive",2,44,1,311,"exclude"
"176","23.06.22",12:32:49,246532124,"test","2_23","prime_positive",1,47,1,202,"exclude"
"177","23.06.22",12:32:49,246532124,"test","2_24","prime_positive",4,25,1,259,"exclude"
"178","23.06.22",12:32:49,246532124,"test","2_25","prime_negative",2,36,0,636,"exclude"
"179","23.06.22",12:32:49,246532124,"test","2_26","prime_negative",3,8,1,395,"exclude"
"180","23.06.22",12:32:49,246532124,"test","2_27","prime_positive",3,63,1,319,"exclude"
"181","23.06.22",12:32:49,246532124,"test","2_28","prime_negative",2,13,1,159,"exclude"
"182","23.06.22",12:32:49,246532124,"test","2_29","prime_negative",4,49,1,218,"exclude"
"183","23.06.22",12:32:49,246532124,"test","2_30","prime_positive",2,46,1,218,"exclude"
"184","23.06.22",12:32:49,246532124,"test","2_31","prime_negative",1,52,1,218,"exclude"
"185","23.06.22",12:32:49,246532124,"test","2_32","prime_positive",1,53,1,226,"exclude"
"186","23.06.22",12:32:49,246532124,"test","2_33","prime_negative",3,51,1,184,"exclude"
"187","23.06.22",12:32:49,246532124,"test","2_34","prime_positive",3,55,1,193,"exclude"
"188","23.06.22",12:32:49,246532124,"test","2_35","prime_positive",4,1,1,218,"exclude"
"189","23.06.22",12:32:49,246532124,"test","2_36","prime_negative",2,24,1,177,"exclude"
"190","23.06.22",12:32:49,246532124,"test","2_37","prime_positive",2,6,1,235,"exclude"
"191","23.06.22",12:32:49,246532124,"test","2_38","prime_positive",1,35,1,218,"exclude"
"192","23.06.22",12:32:49,246532124,"test","2_39","prime_negative",4,15,1,218,"exclude"
"193","23.06.22",12:32:49,246532124,"test","2_40","prime_negative",1,50,1,201,"exclude"
"194","23.06.22",12:32:49,246532124,"test","2_41","prime_positive",3,64,1,277,"exclude"
"195","23.06.22",12:32:49,246532124,"test","2_42","prime_negative",3,67,1,168,"exclude"
"196","23.06.22",12:32:49,246532124,"test","2_43","prime_negative",2,9,1,136,"exclude"
"197","23.06.22",12:32:49,246532124,"test","2_44","prime_positive",2,37,1,1052,"exclude"
"198","23.06.22",12:32:49,246532124,"test","2_45","prime_negative",1,54,1,352,"exclude"
"199","23.06.22",12:32:49,246532124,"test","2_46","prime_positive",4,33,1,201,"exclude"
"200","23.06.22",12:32:49,246532124,"test","2_47","prime_negative",4,58,1,394,"exclude"
"201","23.06.22",12:32:49,246532124,"test","2_48","prime_positive",1,70,1,293,"exclude"
"202","23.06.22",12:32:49,246532124,"test","2_49","prime_negative",3,41,1,201,"exclude"
"203","23.06.22",12:32:49,246532124,"test","2_50","prime_positive",2,71,1,167,"exclude"
"204","23.06.22",12:32:49,246532124,"test","2_51","prime_positive",3,42,1,168,"exclude"
"205","23.06.22",12:32:49,246532124,"test","2_52","prime_negative",2,61,1,219,"exclude"
"206","23.06.22",12:32:49,246532124,"test","2_53","prime_negative",1,2,1,202,"exclude"
"207","23.06.22",12:32:49,246532124,"test","2_54","prime_positive",4,56,1,251,"exclude"
"208","23.06.22",12:32:49,246532124,"test","2_55","prime_negative",4,65,1,318,"exclude"
"209","23.06.22",12:32:49,246532124,"test","2_56","prime_negative",4,30,1,201,"exclude"
"210","23.06.22",12:32:49,246532124,"test","2_57","prime_positive",4,19,1,226,"exclude"
"211","23.06.22",12:32:49,246532124,"test","2_58","prime_negative",1,20,1,200,"exclude"
"212","23.06.22",12:32:49,246532124,"test","2_59","prime_negative",3,18,1,192,"exclude"
"213","23.06.22",12:32:49,246532124,"test","2_60","prime_negative",2,7,1,201,"exclude"
"214","23.06.22",12:32:49,246532124,"test","2_61","prime_negative",3,4,1,26,"exclude"
"215","23.06.22",12:32:49,246532124,"test","2_62","prime_positive",1,48,1,167,"exclude"
"216","23.06.22",12:32:49,246532124,"test","2_63","prime_positive",3,23,1,251,"exclude"
"217","23.06.22",12:32:49,246532124,"test","2_64","prime_positive",2,8,1,420,"exclude"
"218","23.06.22",12:32:49,246532124,"test","2_65","prime_positive",4,10,1,378,"exclude"
"219","23.06.22",12:32:49,246532124,"test","2_66","prime_positive",3,30,1,235,"exclude"
"220","23.06.22",12:32:49,246532124,"test","2_67","prime_positive",2,57,1,227,"exclude"
"221","23.06.22",12:32:49,246532124,"test","2_68","prime_positive",1,26,1,251,"exclude"
"222","23.06.22",12:32:49,246532124,"test","2_69","prime_negative",1,2,1,235,"exclude"
"223","23.06.22",12:32:49,246532124,"test","2_70","prime_negative",4,20,1,226,"exclude"
"224","23.06.22",12:32:49,246532124,"test","2_71","prime_positive",4,38,1,193,"exclude"
"225","23.06.22",12:32:49,246532124,"test","2_72","prime_negative",2,14,1,243,"exclude"
"226","23.06.22",12:32:49,246532124,"test","2_73","prime_negative",2,51,1,269,"exclude"
"227","23.06.22",12:35:27,469672453,"test","2_2","prime_negative",2,9,1,1145,"include"
"228","23.06.22",12:35:27,469672453,"test","2_3","prime_positive",4,26,1,867,"include"
"229","23.06.22",12:35:27,469672453,"test","2_4","prime_negative",4,48,1,1252,"include"
"230","23.06.22",12:35:27,469672453,"test","2_5","prime_negative",3,13,1,824,"include"
"231","23.06.22",12:35:27,469672453,"test","2_6","prime_negative",2,22,1,452,"include"
"232","23.06.22",12:35:27,469672453,"test","2_7","prime_negative",3,53,1,461,"include"
"233","23.06.22",12:35:27,469672453,"test","2_8","prime_negative",1,38,1,513,"include"
"234","23.06.22",12:35:27,469672453,"test","2_9","prime_negative",4,18,0,880,"include"
